Date collected,Species,Sex,Weight
1/8,PF,M,7
2/18,OT,M,24
2/18,OT,F,23
3/11,NA,M,232
3/11,OT,F,22
3/11,OT,M,6
3/11,PF,M,8
4/8,NA,F,8
5/6,NA,F,45
5/18,NA,F,182
6/9,OT,F,29
